<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.01.01	22:00:00	1.17440	1.17487	1.17440	1.17476	389	0	20
2026.01.01	23:00:00	1.17482	1.17504	1.17445	1.17504	771	0	8
2026.01.02	00:00:00	1.17504	1.17559	1.17495	1.17557	836	0	8
2026.01.02	01:00:00	1.17558	1.17624	1.17558	1.17603	1179	0	8
2026.01.02	02:00:00	1.17604	1.17633	1.17577	1.17588	821	0	8
2026.01.02	03:00:00	1.17588	1.17646	1.17587	1.17639	708	0	8
2026.01.02	04:00:00	1.17640	1.17645	1.17548	1.17554	768	0	8
2026.01.02	05:00:00	1.17554	1.17576	1.17506	1.17509	710	0	8
2026.01.02	06:00:00	1.17509	1.17511	1.17413	1.17436	1100	0	8
2026.01.02	07:00:00	1.17434	1.17468	1.17319	1.17345	1897	0	8
2026.01.02	08:00:00	1.17345	1.17379	1.17237	1.17285	3032	0	8
2026.01.02	09:00:00	1.17284	1.17370	1.17204	1.17213	2382	0	8
2026.01.02	10:00:00	1.17214	1.17232	1.17129	1.17208	2114	0	8
2026.01.02	11:00:00	1.17206	1.17221	1.17147	1.17215	1750	0	8
2026.01.02	12:00:00	1.17213	1.17267	1.17204	1.17234	1582	0	8
2026.01.02	13:00:00	1.17236	1.17285	1.17179	1.17212	2587	0	8
2026.01.02	14:00:00	1.17215	1.17299	1.17155	1.17281	2633	0	8
2026.01.02	15:00:00	1.17281	1.17517	1.17278	1.17503	3516	0	8
2026.01.02	16:00:00	1.17501	1.17540	1.17338	1.17371	2706	0	8
2026.01.02	17:00:00	1.17371	1.17374	1.17281	1.17305	1918	0	8
2026.01.02	18:00:00	1.17305	1.17310	1.17148	1.17188	1840	0	8
2026.01.02	19:00:00	1.17189	1.17238	1.17139	1.17227	1586	0	8
2026.01.02	20:00:00	1.17229	1.17234	1.17149	1.17174	1532	0	8
2026.01.02	21:00:00	1.17172	1.17228	1.17167	1.17196	915	0	8
2026.01.04	22:00:00	1.17224	1.17240	1.17093	1.17118	432	0	48
2026.01.04	23:00:00	1.17119	1.17126	1.16985	1.17048	1656	0	8
2026.01.05	00:00:00	1.17050	1.17107	1.17032	1.17047	2106	0	8
2026.01.05	01:00:00	1.17045	1.17069	1.16992	1.17002	2089	0	8
2026.01.05	02:00:00	1.17002	1.17015	1.16836	1.16885	1909	0	8
2026.01.05	03:00:00	1.16883	1.16904	1.16719	1.16747	1717	0	8
2026.01.05	04:00:00	1.16748	1.16827	1.16728	1.16816	1275	0	8
2026.01.05	05:00:00	1.16816	1.16855	1.16800	1.16849	941	0	8
2026.01.05	06:00:00	1.16849	1.16914	1.16778	1.16906	1388	0	8
2026.01.05	07:00:00	1.16906	1.16918	1.16830	1.16861	2306	0	8
2026.01.05	08:00:00	1.16859	1.16944	1.16806	1.16830	2790	0	8
2026.01.05	09:00:00	1.16830	1.16870	1.16733	1.16821	2239	0	8
2026.01.05	10:00:00	1.16821	1.16896	1.16795	1.16895	2181	0	8
2026.01.05	11:00:00	1.16894	1.16906	1.16798	1.16814	2207	0	8
2026.01.05	12:00:00	1.16812	1.16849	1.16696	1.16705	2156	0	8
2026.01.05	13:00:00	1.16705	1.16747	1.16587	1.16742	3437	0	8
2026.01.05	14:00:00	1.16745	1.16869	1.16726	1.16851	3382	0	8
2026.01.05	15:00:00	1.16849	1.17042	1.16849	1.17041	3806	0	8
2026.01.05	16:00:00	1.17042	1.17181	1.17036	1.17144	2979	0	8
2026.01.05	17:00:00	1.17143	1.17194	1.17096	1.17139	2355	0	8
2026.01.05	18:00:00	1.17139	1.17251	1.17128	1.17246	1495	0	8
2026.01.05	19:00:00	1.17248	1.17284	1.17217	1.17267	1685	0	8
2026.01.05	20:00:00	1.17264	1.17285	1.17233	1.17243	1063	0	8
2026.01.05	21:00:00	1.17243	1.17260	1.17189	1.17198	747	0	8
2026.01.05	22:00:00	1.17210	1.17214	1.17182	1.17187	283	0	8
2026.01.05	23:00:00	1.17190	1.17215	1.17125	1.17142	662	0	8
2026.01.06	00:00:00	1.17143	1.17168	1.17104	1.17163	1034	0	8
2026.01.06	01:00:00	1.17164	1.17250	1.17117	1.17250	1664	0	8
2026.01.06	02:00:00	1.17250	1.17375	1.17217	1.17369	1398	0	8
2026.01.06	03:00:00	1.17367	1.17378	1.17321	1.17342	1149	0	8
2026.01.06	04:00:00	1.17344	1.17354	1.17310	1.17334	814	0	8
2026.01.06	05:00:00	1.17332	1.17367	1.17271	1.17284	1060	0	8
2026.01.06	06:00:00	1.17285	1.17368	1.17285	1.17360	1283	0	8
