<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.08.01	00:00:00	1.14213	1.14285	1.14152	1.14238	2494	0	9
2025.08.01	01:00:00	1.14235	1.14283	1.14044	1.14069	2643	0	9
2025.08.01	02:00:00	1.14069	1.14147	1.14054	1.14109	2005	0	9
2025.08.01	03:00:00	1.14111	1.14219	1.14099	1.14181	1542	0	9
2025.08.01	04:00:00	1.14182	1.14211	1.14152	1.14187	1167	0	9
2025.08.01	05:00:00	1.14186	1.14342	1.14157	1.14301	1630	0	9
2025.08.01	06:00:00	1.14302	1.14377	1.14257	1.14290	2650	0	9
2025.08.01	07:00:00	1.14292	1.14337	1.14121	1.14184	3004	0	9
2025.08.01	08:00:00	1.14182	1.14203	1.14050	1.14062	2473	0	9
2025.08.01	09:00:00	1.14064	1.14126	1.13927	1.14004	2321	0	9
2025.08.01	10:00:00	1.14006	1.14173	1.14006	1.14117	2470	0	9
2025.08.01	11:00:00	1.14114	1.14221	1.14038	1.14044	2513	0	9
2025.08.01	12:00:00	1.14042	1.15585	1.13909	1.15447	15936	0	8
2025.08.01	13:00:00	1.15449	1.15827	1.15365	1.15619	15812	0	9
2025.08.01	14:00:00	1.15622	1.15879	1.15507	1.15558	13696	0	9
2025.08.01	15:00:00	1.15556	1.15648	1.15359	1.15539	5641	0	9
2025.08.01	16:00:00	1.15537	1.15645	1.15376	1.15391	3746	0	9
2025.08.01	17:00:00	1.15391	1.15391	1.15161	1.15262	3873	0	9
2025.08.01	18:00:00	1.15264	1.15477	1.15213	1.15254	3317	0	9
2025.08.01	19:00:00	1.15257	1.15818	1.15234	1.15689	6670	0	9
2025.08.01	20:00:00	1.15687	1.15966	1.15683	1.15872	3261	0	9
2025.08.03	21:00:00	1.15880	1.15926	1.15870	1.15893	622	0	23
2025.08.03	22:00:00	1.15891	1.15952	1.15778	1.15833	2333	0	9
2025.08.03	23:00:00	1.15835	1.15898	1.15777	1.15871	1980	0	9
2025.08.04	00:00:00	1.15871	1.15884	1.15556	1.15575	3253	0	9
2025.08.04	01:00:00	1.15575	1.15718	1.15497	1.15710	3218	0	9
2025.08.04	02:00:00	1.15710	1.15778	1.15670	1.15754	2281	0	9
2025.08.04	03:00:00	1.15753	1.15856	1.15753	1.15786	1809	0	9
2025.08.04	04:00:00	1.15786	1.15850	1.15739	1.15739	1487	0	9
2025.08.04	05:00:00	1.15739	1.15819	1.15666	1.15698	2056	0	9
2025.08.04	06:00:00	1.15698	1.15830	1.15630	1.15711	4055	0	9
2025.08.04	07:00:00	1.15713	1.15782	1.15504	1.15631	4220	0	9
