<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.05.01	00:00:00	1.33204	1.33261	1.33170	1.33186	1741	0	10
2025.05.01	01:00:00	1.33186	1.33188	1.33033	1.33074	1518	0	10
2025.05.01	02:00:00	1.33073	1.33164	1.33053	1.33135	1309	0	10
2025.05.01	03:00:00	1.33135	1.33165	1.32926	1.33006	2214	0	10
2025.05.01	04:00:00	1.33006	1.33025	1.32925	1.32935	1860	0	10
2025.05.01	05:00:00	1.32933	1.32952	1.32784	1.32884	2321	0	10
2025.05.01	06:00:00	1.32883	1.33007	1.32849	1.32890	3080	0	10
2025.05.01	07:00:00	1.32888	1.33067	1.32743	1.33053	3744	0	10
2025.05.01	08:00:00	1.33056	1.33330	1.33050	1.33241	3099	0	10
2025.05.01	09:00:00	1.33240	1.33312	1.33125	1.33153	2544	0	10
2025.05.01	10:00:00	1.33151	1.33386	1.33115	1.33380	2699	0	10
2025.05.01	11:00:00	1.33382	1.33450	1.33233	1.33236	2995	0	10
2025.05.01	12:00:00	1.33236	1.33398	1.33137	1.33157	4667	0	10
2025.05.01	13:00:00	1.33153	1.33267	1.33109	1.33242	4532	0	10
2025.05.01	14:00:00	1.33237	1.33261	1.32841	1.32948	6440	0	10
2025.05.01	15:00:00	1.32950	1.33005	1.32644	1.32724	4318	0	10
2025.05.01	16:00:00	1.32722	1.32836	1.32614	1.32800	3245	0	10
2025.05.01	17:00:00	1.32802	1.32802	1.32629	1.32664	2233	0	10
2025.05.01	18:00:00	1.32664	1.32862	1.32596	1.32772	2555	0	10
2025.05.01	19:00:00	1.32774	1.32843	1.32757	1.32783	2024	0	10
2025.05.01	20:00:00	1.32784	1.32840	1.32737	1.32757	1292	0	10
2025.05.01	21:00:00	1.32755	1.32792	1.32633	1.32633	1009	0	26
2025.05.01	22:00:00	1.32736	1.32856	1.32726	1.32841	1197	0	10
2025.05.01	23:00:00	1.32843	1.32863	1.32797	1.32854	1108	0	10
2025.05.02	00:00:00	1.32855	1.32896	1.32735	1.32788	2543	0	10
2025.05.02	01:00:00	1.32787	1.32896	1.32753	1.32896	2286	0	10
2025.05.02	02:00:00	1.32896	1.32995	1.32891	1.32920	1625	0	10
2025.05.02	03:00:00	1.32919	1.33100	1.32897	1.33093	1811	0	10
2025.05.02	04:00:00	1.33095	1.33132	1.33035	1.33076	2342	0	10
2025.05.02	05:00:00	1.33077	1.33217	1.33048	1.33118	1977	0	10
2025.05.02	06:00:00	1.33116	1.33210	1.33064	1.33116	3604	0	10
2025.05.02	07:00:00	1.33113	1.33185	1.32980	1.32985	3905	0	10
2025.05.02	08:00:00	1.32989	1.32991	1.32819	1.32917	3572	0	10
2025.05.02	09:00:00	1.32914	1.33154	1.32852	1.33096	3483	0	10
2025.05.02	10:00:00	1.33097	1.33108	1.32868	1.32896	2870	0	10
2025.05.02	11:00:00	1.32898	1.33070	1.32856	1.32934	3241	0	10
2025.05.02	12:00:00	1.32934	1.32981	1.32599	1.32902	7417	0	10
2025.05.02	13:00:00	1.32903	1.33304	1.32827	1.33198	6862	0	10
2025.05.02	14:00:00	1.33195	1.33294	1.33096	1.33207	5981	0	10
2025.05.02	15:00:00	1.33205	1.33282	1.32768	1.32804	4836	0	10
2025.05.02	16:00:00	1.32806	1.32966	1.32759	1.32834	4497	0	10
2025.05.02	17:00:00	1.32833	1.32937	1.32727	1.32771	3271	0	10
2025.05.02	18:00:00	1.32771	1.32821	1.32671	1.32732	2540	0	10
2025.05.02	19:00:00	1.32733	1.32832	1.32731	1.32769	2012	0	10
2025.05.02	20:00:00	1.32767	1.32786	1.32632	1.32700	1267	0	10
2025.05.04	21:00:00	1.32466	1.32595	1.32462	1.32587	213	0	137
2025.05.04	22:00:00	1.32652	1.32745	1.32583	1.32636	1546	0	10
2025.05.04	23:00:00	1.32639	1.32761	1.32610	1.32692	1516	0	10
2025.05.05	00:00:00	1.32693	1.32719	1.32612	1.32709	1770	0	10
2025.05.05	01:00:00	1.32709	1.32968	1.32709	1.32888	2930	0	10
2025.05.05	02:00:00	1.32891	1.33003	1.32824	1.32972	2169	0	10
2025.05.05	03:00:00	1.32971	1.32976	1.32842	1.32882	1658	0	10
2025.05.05	04:00:00	1.32883	1.32962	1.32860	1.32947	1622	0	10
2025.05.05	05:00:00	1.32946	1.33065	1.32902	1.32932	2607	0	10
2025.05.05	06:00:00	1.32931	1.32977	1.32752	1.32801	3867	0	10
2025.05.05	07:00:00	1.32800	1.32915	1.32748	1.32803	3441	0	10
2025.05.05	08:00:00	1.32801	1.32915	1.32763	1.32813	3256	0	10
2025.05.05	09:00:00	1.32816	1.33039	1.32816	1.33026	3196	0	10
2025.05.05	10:00:00	1.33026	1.33094	1.32944	1.33064	3074	0	10
2025.05.05	11:00:00	1.33061	1.33248	1.33057	1.33159	3265	0	10
2025.05.05	12:00:00	1.33160	1.33352	1.33150	1.33301	4003	0	10
2025.05.05	13:00:00	1.33301	1.33362	1.33176	1.33213	3960	0	10
2025.05.05	14:00:00	1.33197	1.33197	1.32993	1.33056	5122	0	10
2025.05.05	15:00:00	1.33054	1.33091	1.32795	1.32816	3433	0	10
2025.05.05	16:00:00	1.32817	1.32817	1.32698	1.32734	2795	0	10
2025.05.05	17:00:00	1.32736	1.32829	1.32714	1.32772	2084	0	10
