<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.08.01	00:00:00	1.14213	1.14233	1.14152	1.14229	722	0	9
2025.08.01	00:15:00	1.14227	1.14252	1.14191	1.14246	714	0	9
2025.08.01	00:30:00	1.14247	1.14281	1.14210	1.14275	531	0	9
2025.08.01	00:45:00	1.14276	1.14285	1.14222	1.14238	527	0	9
2025.08.01	01:00:00	1.14235	1.14283	1.14204	1.14260	699	0	9
2025.08.01	01:15:00	1.14258	1.14282	1.14197	1.14238	503	0	9
2025.08.01	01:30:00	1.14239	1.14247	1.14097	1.14119	633	0	9
2025.08.01	01:45:00	1.14119	1.14121	1.14044	1.14069	808	0	9
2025.08.01	02:00:00	1.14069	1.14140	1.14066	1.14131	565	0	9
2025.08.01	02:15:00	1.14130	1.14146	1.14091	1.14137	504	0	9
2025.08.01	02:30:00	1.14138	1.14147	1.14072	1.14077	513	0	9
2025.08.01	02:45:00	1.14076	1.14109	1.14054	1.14109	423	0	9
2025.08.01	03:00:00	1.14111	1.14217	1.14099	1.14216	501	0	9
2025.08.01	03:15:00	1.14214	1.14219	1.14147	1.14161	361	0	9
2025.08.01	03:30:00	1.14161	1.14187	1.14132	1.14179	307	0	9
2025.08.01	03:45:00	1.14180	1.14208	1.14164	1.14181	373	0	9
2025.08.01	04:00:00	1.14182	1.14211	1.14160	1.14186	367	0	9
2025.08.01	04:15:00	1.14186	1.14193	1.14162	1.14170	283	0	9
2025.08.01	04:30:00	1.14170	1.14210	1.14167	1.14183	260	0	9
2025.08.01	04:45:00	1.14183	1.14203	1.14152	1.14187	257	0	9
2025.08.01	05:00:00	1.14186	1.14209	1.14157	1.14189	401	0	9
2025.08.01	05:15:00	1.14189	1.14225	1.14175	1.14201	363	0	9
2025.08.01	05:30:00	1.14202	1.14274	1.14200	1.14272	371	0	9
2025.08.01	05:45:00	1.14272	1.14342	1.14263	1.14301	495	0	9
2025.08.01	06:00:00	1.14302	1.14335	1.14274	1.14311	777	0	9
2025.08.01	06:15:00	1.14311	1.14369	1.14307	1.14334	611	0	9
2025.08.01	06:30:00	1.14332	1.14377	1.14295	1.14328	636	0	9
2025.08.01	06:45:00	1.14326	1.14327	1.14257	1.14290	626	0	9
2025.08.01	07:00:00	1.14292	1.14337	1.14243	1.14245	873	0	9
2025.08.01	07:15:00	1.14245	1.14285	1.14217	1.14284	726	0	9
2025.08.01	07:30:00	1.14286	1.14303	1.14190	1.14211	698	0	9
2025.08.01	07:45:00	1.14210	1.14214	1.14121	1.14184	707	0	9
2025.08.01	08:00:00	1.14182	1.14193	1.14124	1.14149	561	0	9
2025.08.01	08:15:00	1.14149	1.14203	1.14121	1.14197	580	0	9
2025.08.01	08:30:00	1.14197	1.14201	1.14098	1.14114	706	0	9
2025.08.01	08:45:00	1.14114	1.14121	1.14050	1.14062	626	0	9
2025.08.01	09:00:00	1.14064	1.14126	1.14060	1.14096	432	0	9
2025.08.01	09:15:00	1.14094	1.14096	1.14009	1.14029	622	0	9
2025.08.01	09:30:00	1.14029	1.14060	1.13969	1.14004	579	0	9
2025.08.01	09:45:00	1.14004	1.14008	1.13927	1.14004	688	0	9
2025.08.01	10:00:00	1.14006	1.14112	1.14006	1.14108	648	0	9
2025.08.01	10:15:00	1.14110	1.14111	1.14038	1.14066	493	0	9
2025.08.01	10:30:00	1.14065	1.14173	1.14065	1.14114	625	0	9
