<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.10.01	00:00:00	1.34420	1.34439	1.34353	1.34403	1856	0	10
2025.10.01	01:00:00	1.34403	1.34420	1.34343	1.34415	1346	0	10
2025.10.01	02:00:00	1.34415	1.34434	1.34345	1.34408	1366	0	10
2025.10.01	03:00:00	1.34411	1.34423	1.34353	1.34403	1199	0	10
2025.10.01	04:00:00	1.34403	1.34638	1.34403	1.34626	1382	0	10
2025.10.01	05:00:00	1.34628	1.34719	1.34550	1.34553	2074	0	10
2025.10.01	06:00:00	1.34553	1.34775	1.34546	1.34656	3659	0	10
2025.10.01	07:00:00	1.34655	1.34772	1.34530	1.34667	4958	0	10
2025.10.01	08:00:00	1.34671	1.34799	1.34659	1.34670	3964	0	10
2025.10.01	09:00:00	1.34668	1.34748	1.34619	1.34643	3014	0	10
2025.10.01	10:00:00	1.34639	1.34759	1.34572	1.34709	3247	0	10
2025.10.01	11:00:00	1.34708	1.34881	1.34700	1.34819	2785	0	10
2025.10.01	12:00:00	1.34815	1.35214	1.34690	1.35120	9039	0	10
2025.10.01	13:00:00	1.35122	1.35272	1.35060	1.35167	5118	0	10
2025.10.01	14:00:00	1.35164	1.35240	1.34923	1.35063	8114	0	10
2025.10.01	15:00:00	1.35060	1.35077	1.34702	1.34716	5034	0	10
2025.10.01	16:00:00	1.34711	1.34766	1.34649	1.34737	2814	0	10
2025.10.01	17:00:00	1.34737	1.34786	1.34709	1.34722	1853	0	10
2025.10.01	18:00:00	1.34722	1.34892	1.34678	1.34853	2164	0	10
2025.10.01	19:00:00	1.34855	1.34877	1.34778	1.34793	1350	0	10
2025.10.01	20:00:00	1.34794	1.34798	1.34712	1.34748	1779	0	10
2025.10.01	21:00:00	1.34744	1.34773	1.34696	1.34696	611	0	17
2025.10.01	22:00:00	1.34801	1.34814	1.34754	1.34789	643	0	10
2025.10.01	23:00:00	1.34789	1.34828	1.34774	1.34779	675	0	10
2025.10.02	00:00:00	1.34777	1.34783	1.34687	1.34689	1838	0	10
2025.10.02	01:00:00	1.34692	1.34838	1.34667	1.34836	1752	0	10
2025.10.02	02:00:00	1.34837	1.34874	1.34788	1.34805	1165	0	10
2025.10.02	03:00:00	1.34807	1.34809	1.34754	1.34777	1028	0	10
2025.10.02	04:00:00	1.34777	1.34786	1.34736	1.34750	956	0	10
2025.10.02	05:00:00	1.34750	1.34785	1.34683	1.34745	1500	0	10
2025.10.02	06:00:00	1.34746	1.34892	1.34726	1.34892	3070	0	10
2025.10.02	07:00:00	1.34890	1.35005	1.34867	1.34940	3312	0	10
2025.10.02	08:00:00	1.34942	1.35099	1.34910	1.35039	2820	0	10
2025.10.02	09:00:00	1.35036	1.35075	1.34965	1.34985	2687	0	10
2025.10.02	10:00:00	1.34985	1.34985	1.34795	1.34797	2357	0	10
2025.10.02	11:00:00	1.34798	1.34829	1.34702	1.34759	2966	0	10
2025.10.02	12:00:00	1.34760	1.34828	1.34633	1.34657	3188	0	10
2025.10.02	13:00:00	1.34658	1.34685	1.34259	1.34302	4488	0	10
2025.10.02	14:00:00	1.34301	1.34304	1.34111	1.34204	5127	0	10
2025.10.02	15:00:00	1.34202	1.34268	1.34003	1.34206	3945	0	10
2025.10.02	16:00:00	1.34203	1.34391	1.34196	1.34386	2702	0	10
2025.10.02	17:00:00	1.34384	1.34453	1.34351	1.34371	1966	0	10
2025.10.02	18:00:00	1.34369	1.34476	1.34356	1.34460	1668	0	10
2025.10.02	19:00:00	1.34460	1.34516	1.34424	1.34426	1191	0	10
2025.10.02	20:00:00	1.34426	1.34496	1.34358	1.34360	1406	0	10
2025.10.02	21:00:00	1.34360	1.34387	1.34268	1.34344	878	0	47
2025.10.02	22:00:00	1.34391	1.34532	1.34380	1.34405	757	0	10
2025.10.02	23:00:00	1.34405	1.34463	1.34400	1.34460	458	0	10
2025.10.03	00:00:00	1.34461	1.34461	1.34386	1.34446	1380	0	10
2025.10.03	01:00:00	1.34444	1.34503	1.34326	1.34448	2216	0	10
2025.10.03	02:00:00	1.34451	1.34457	1.34355	1.34392	1187	0	10
2025.10.03	03:00:00	1.34388	1.34448	1.34350	1.34441	1107	0	10
2025.10.03	04:00:00	1.34441	1.34458	1.34345	1.34346	978	0	10
2025.10.03	05:00:00	1.34346	1.34367	1.34302	1.34318	1696	0	10
2025.10.03	06:00:00	1.34320	1.34436	1.34284	1.34336	2296	0	10
2025.10.03	07:00:00	1.34335	1.34609	1.34335	1.34599	2629	0	10
2025.10.03	08:00:00	1.34599	1.34678	1.34521	1.34573	3133	0	10
2025.10.03	09:00:00	1.34573	1.34577	1.34414	1.34536	2351	0	10
2025.10.03	10:00:00	1.34538	1.34559	1.34476	1.34522	1792	0	10
2025.10.03	11:00:00	1.34523	1.34552	1.34440	1.34489	2557	0	10
2025.10.03	12:00:00	1.34490	1.34594	1.34365	1.34576	3381	0	10
2025.10.03	13:00:00	1.34580	1.34687	1.34500	1.34629	4150	0	10
2025.10.03	14:00:00	1.34637	1.34775	1.34564	1.34715	6205	0	10
2025.10.03	15:00:00	1.34713	1.34849	1.34650	1.34787	3318	0	10
2025.10.03	16:00:00	1.34785	1.34841	1.34725	1.34771	1906	0	10
2025.10.03	17:00:00	1.34770	1.34822	1.34666	1.34705	1977	0	10
2025.10.03	18:00:00	1.34707	1.34803	1.34623	1.34795	1907	0	10
2025.10.03	19:00:00	1.34796	1.34837	1.34762	1.34828	1368	0	10
2025.10.03	20:00:00	1.34826	1.34867	1.34762	1.34781	1752	0	10
2025.10.05	21:00:00	1.34560	1.34560	1.34290	1.34364	1018	0	47
2025.10.05	22:00:00	1.34430	1.34450	1.34215	1.34343	1823	0	17
2025.10.05	23:00:00	1.34345	1.34387	1.34259	1.34315	3573	0	10
2025.10.06	00:00:00	1.34317	1.34399	1.34270	1.34397	2883	0	10
2025.10.06	01:00:00	1.34397	1.34503	1.34352	1.34496	2112	0	10
2025.10.06	02:00:00	1.34494	1.34572	1.34485	1.34543	1357	0	10
2025.10.06	03:00:00	1.34543	1.34579	1.34509	1.34513	1330	0	10
2025.10.06	04:00:00	1.34512	1.34548	1.34452	1.34464	1820	0	10
2025.10.06	05:00:00	1.34464	1.34526	1.34394	1.34433	1721	0	10
2025.10.06	06:00:00	1.34435	1.34483	1.34299	1.34409	3744	0	10
2025.10.06	07:00:00	1.34412	1.34638	1.34356	1.34430	6265	0	10
2025.10.06	08:00:00	1.34426	1.34447	1.34177	1.34354	4464	0	10
2025.10.06	09:00:00	1.34351	1.34387	1.34235	1.34364	3048	0	10
2025.10.06	10:00:00	1.34364	1.34374	1.34216	1.34216	3050	0	10
2025.10.06	11:00:00	1.34217	1.34314	1.34157	1.34245	3054	0	10
2025.10.06	12:00:00	1.34245	1.34402	1.34228	1.34370	4162	0	10
2025.10.06	13:00:00	1.34372	1.34645	1.34369	1.34607	3859	0	10
2025.10.06	14:00:00	1.34609	1.34838	1.34581	1.34795	3958	0	10
2025.10.06	15:00:00	1.34797	1.34837	1.34677	1.34745	3207	0	10
2025.10.06	16:00:00	1.34746	1.34765	1.34654	1.34749	1988	0	10
2025.10.06	17:00:00	1.34751	1.34837	1.34746	1.34835	1567	0	10
2025.10.06	18:00:00	1.34832	1.34865	1.34792	1.34820	1277	0	10
2025.10.06	19:00:00	1.34820	1.34897	1.34800	1.34812	1449	0	10
2025.10.06	20:00:00	1.34809	1.34866	1.34799	1.34836	1148	0	10
2025.10.06	21:00:00	1.34834	1.34840	1.34775	1.34793	817	0	17
2025.10.06	22:00:00	1.34801	1.34863	1.34793	1.34812	1424	0	10
2025.10.06	23:00:00	1.34812	1.34867	1.34795	1.34835	801	0	10
2025.10.07	00:00:00	1.34835	1.34843	1.34770	1.34821	1609	0	10
2025.10.07	01:00:00	1.34820	1.34820	1.34721	1.34736	1595	0	10
2025.10.07	02:00:00	1.34738	1.34795	1.34722	1.34756	1076	0	10
2025.10.07	03:00:00	1.34755	1.34806	1.34740	1.34755	1004	0	10
2025.10.07	04:00:00	1.34755	1.34802	1.34673	1.34695	1182	0	10
2025.10.07	05:00:00	1.34695	1.34706	1.34541	1.34596	1702	0	10
2025.10.07	06:00:00	1.34596	1.34598	1.34444	1.34525	2970	0	10
2025.10.07	07:00:00	1.34523	1.34534	1.34285	1.34366	3451	0	10
2025.10.07	08:00:00	1.34367	1.34448	1.34321	1.34365	2641	0	10
2025.10.07	09:00:00	1.34364	1.34438	1.34320	1.34433	2383	0	10
2025.10.07	10:00:00	1.34436	1.34439	1.34237	1.34255	2378	0	10
2025.10.07	11:00:00	1.34255	1.34280	1.33917	1.34010	3233	0	10
2025.10.07	12:00:00	1.34008	1.34148	1.33932	1.34138	3612	0	10
2025.10.07	13:00:00	1.34140	1.34276	1.34091	1.34175	3981	0	10
2025.10.07	14:00:00	1.34172	1.34336	1.34136	1.34306	3729	0	10
2025.10.07	15:00:00	1.34305	1.34541	1.34305	1.34397	3827	0	10
2025.10.07	16:00:00	1.34400	1.34498	1.34384	1.34419	3017	0	10
2025.10.07	17:00:00	1.34420	1.34518	1.34393	1.34401	2297	0	10
2025.10.07	18:00:00	1.34402	1.34410	1.34284	1.34299	2352	0	10
2025.10.07	19:00:00	1.34297	1.34307	1.34154	1.34210	1891	0	10
2025.10.07	20:00:00	1.34209	1.34259	1.34182	1.34214	1287	0	10
2025.10.07	21:00:00	1.34211	1.34273	1.34188	1.34250	934	0	20
2025.10.07	22:00:00	1.34283	1.34299	1.34246	1.34251	671	0	10
2025.10.07	23:00:00	1.34250	1.34261	1.34191	1.34197	1031	0	10
2025.10.08	00:00:00	1.34197	1.34213	1.34113	1.34151	1785	0	10
2025.10.08	01:00:00	1.34153	1.34153	1.33960	1.33970	3856	0	10
2025.10.08	02:00:00	1.33972	1.34027	1.33913	1.33968	2012	0	10
2025.10.08	03:00:00	1.33968	1.33997	1.33898	1.33989	1406	0	10
2025.10.08	04:00:00	1.33989	1.34003	1.33897	1.33931	1226	0	10
