<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.06.01	21:00:00	1.13466	1.13470	1.13452	1.13466	80	0	40
2025.06.01	21:15:00	1.13467	1.13471	1.13464	1.13465	57	0	40
2025.06.01	21:30:00	1.13466	1.13478	1.13464	1.13473	85	0	40
2025.06.01	21:45:00	1.13472	1.13510	1.13471	1.13510	91	0	9
2025.06.01	22:00:00	1.13514	1.13572	1.13486	1.13558	595	0	9
2025.06.01	22:15:00	1.13559	1.13572	1.13496	1.13505	525	0	9
2025.06.01	22:30:00	1.13505	1.13513	1.13473	1.13495	340	0	9
2025.06.01	22:45:00	1.13496	1.13563	1.13493	1.13548	320	0	9
2025.06.01	23:00:00	1.13548	1.13594	1.13532	1.13572	389	0	9
2025.06.01	23:15:00	1.13572	1.13584	1.13550	1.13576	342	0	9
2025.06.01	23:30:00	1.13576	1.13590	1.13558	1.13578	399	0	9
2025.06.01	23:45:00	1.13579	1.13601	1.13506	1.13527	420	0	9
2025.06.02	00:00:00	1.13527	1.13702	1.13523	1.13700	755	0	9
2025.06.02	00:15:00	1.13699	1.13739	1.13686	1.13710	591	0	9
2025.06.02	00:30:00	1.13711	1.13721	1.13654	1.13667	634	0	9
2025.06.02	00:45:00	1.13667	1.13744	1.13642	1.13681	811	0	9
2025.06.02	01:00:00	1.13681	1.13741	1.13674	1.13713	758	0	9
2025.06.02	01:15:00	1.13714	1.13802	1.13698	1.13795	737	0	9
2025.06.02	01:30:00	1.13797	1.13816	1.13748	1.13777	813	0	9
2025.06.02	01:45:00	1.13776	1.13791	1.13698	1.13700	750	0	9
2025.06.02	02:00:00	1.13701	1.13735	1.13683	1.13686	601	0	9
2025.06.02	02:15:00	1.13688	1.13708	1.13654	1.13668	453	0	9
2025.06.02	02:30:00	1.13668	1.13727	1.13668	1.13697	436	0	9
2025.06.02	02:45:00	1.13697	1.13705	1.13616	1.13641	423	0	9
2025.06.02	03:00:00	1.13640	1.13656	1.13572	1.13586	446	0	9
2025.06.02	03:15:00	1.13586	1.13631	1.13582	1.13584	400	0	9
2025.06.02	03:30:00	1.13582	1.13582	1.13541	1.13572	393	0	9
2025.06.02	03:45:00	1.13574	1.13615	1.13566	1.13612	449	0	9
2025.06.02	04:00:00	1.13614	1.13636	1.13599	1.13608	384	0	9
2025.06.02	04:15:00	1.13608	1.13646	1.13593	1.13638	350	0	9
2025.06.02	04:30:00	1.13638	1.13645	1.13606	1.13624	416	0	9
2025.06.02	04:45:00	1.13624	1.13665	1.13606	1.13650	432	0	9
2025.06.02	05:00:00	1.13648	1.13700	1.13632	1.13692	483	0	9
2025.06.02	05:15:00	1.13692	1.13721	1.13690	1.13717	380	0	9
2025.06.02	05:30:00	1.13714	1.13774	1.13691	1.13769	431	0	9
2025.06.02	05:45:00	1.13769	1.13800	1.13766	1.13792	560	0	9
2025.06.02	06:00:00	1.13790	1.13826	1.13779	1.13822	655	0	9
2025.06.02	06:15:00	1.13822	1.13914	1.13808	1.13902	748	0	9
2025.06.02	06:30:00	1.13902	1.14057	1.13902	1.14047	979	0	9
2025.06.02	06:45:00	1.14049	1.14066	1.13983	1.14006	868	0	9
2025.06.02	07:00:00	1.14008	1.14128	1.13984	1.14120	1136	0	9
2025.06.02	07:15:00	1.14122	1.14198	1.14121	1.14165	886	0	9
2025.06.02	07:30:00	1.14165	1.14197	1.14127	1.14189	830	0	9
2025.06.02	07:45:00	1.14187	1.14365	1.14181	1.14234	1389	0	9
2025.06.02	08:00:00	1.14232	1.14272	1.14185	1.14220	1059	0	9
2025.06.02	08:15:00	1.14220	1.14270	1.14130	1.14152	926	0	9
2025.06.02	08:30:00	1.14154	1.14226	1.14125	1.14177	968	0	9
2025.06.02	08:45:00	1.14179	1.14226	1.14167	1.14198	925	0	9
2025.06.02	09:00:00	1.14200	1.14337	1.14189	1.14331	1116	0	9
2025.06.02	09:15:00	1.14331	1.14367	1.14307	1.14321	938	0	9
2025.06.02	09:30:00	1.14321	1.14351	1.14271	1.14303	874	0	9
2025.06.02	09:45:00	1.14303	1.14323	1.14227	1.14230	851	0	9
2025.06.02	10:00:00	1.14230	1.14244	1.14178	1.14185	799	0	9
2025.06.02	10:15:00	1.14186	1.14277	1.14170	1.14213	660	0	9
2025.06.02	10:30:00	1.14213	1.14213	1.14128	1.14187	736	0	9
2025.06.02	10:45:00	1.14189	1.14221	1.14133	1.14148	794	0	9
2025.06.02	11:00:00	1.14149	1.14226	1.14132	1.14191	856	0	9
2025.06.02	11:15:00	1.14191	1.14260	1.14191	1.14223	658	0	9
2025.06.02	11:30:00	1.14225	1.14225	1.14102	1.14123	759	0	9
2025.06.02	11:45:00	1.14124	1.14165	1.14089	1.14140	836	0	9
2025.06.02	12:00:00	1.14137	1.14214	1.14109	1.14147	931	0	9
2025.06.02	12:15:00	1.14145	1.14214	1.14120	1.14203	725	0	9
2025.06.02	12:30:00	1.14202	1.14287	1.14202	1.14225	997	0	9
2025.06.02	12:45:00	1.14224	1.14238	1.14160	1.14176	869	0	9
2025.06.02	13:00:00	1.14179	1.14194	1.14111	1.14182	936	0	9
2025.06.02	13:15:00	1.14183	1.14193	1.14042	1.14089	1049	0	9
2025.06.02	13:30:00	1.14090	1.14168	1.14038	1.14162	1319	0	9
2025.06.02	13:45:00	1.14161	1.14225	1.14112	1.14185	1372	0	9
2025.06.02	14:00:00	1.14189	1.14431	1.14184	1.14412	1996	0	9
2025.06.02	14:15:00	1.14410	1.14457	1.14369	1.14433	1445	0	9
2025.06.02	14:30:00	1.14430	1.14495	1.14374	1.14413	1428	0	9
2025.06.02	14:45:00	1.14413	1.14414	1.14339	1.14345	1239	0	9
2025.06.02	15:00:00	1.14344	1.14370	1.14291	1.14332	1104	0	9
2025.06.02	15:15:00	1.14332	1.14383	1.14303	1.14327	1084	0	9
2025.06.02	15:30:00	1.14326	1.14367	1.14247	1.14366	1027	0	9
2025.06.02	15:45:00	1.14366	1.14366	1.14237	1.14301	851	0	9
2025.06.02	16:00:00	1.14303	1.14316	1.14222	1.14265	857	0	9
2025.06.02	16:15:00	1.14265	1.14284	1.14199	1.14213	724	0	9
2025.06.02	16:30:00	1.14213	1.14231	1.14115	1.14151	767	0	9
2025.06.02	16:45:00	1.14151	1.14189	1.14141	1.14181	660	0	9
2025.06.02	17:00:00	1.14179	1.14257	1.14158	1.14246	654	0	9
2025.06.02	17:15:00	1.14246	1.14252	1.14165	1.14177	584	0	9
2025.06.02	17:30:00	1.14177	1.14242	1.14169	1.14209	549	0	9
2025.06.02	17:45:00	1.14210	1.14254	1.14208	1.14222	557	0	9
2025.06.02	18:00:00	1.14221	1.14241	1.14184	1.14228	600	0	9
2025.06.02	18:15:00	1.14228	1.14263	1.14207	1.14262	535	0	9
2025.06.02	18:30:00	1.14262	1.14327	1.14238	1.14324	576	0	9
2025.06.02	18:45:00	1.14324	1.14421	1.14319	1.14409	603	0	9
2025.06.02	19:00:00	1.14407	1.14416	1.14331	1.14369	595	0	9
2025.06.02	19:15:00	1.14371	1.14393	1.14340	1.14375	433	0	9
2025.06.02	19:30:00	1.14375	1.14428	1.14349	1.14411	388	0	9
2025.06.02	19:45:00	1.14412	1.14450	1.14406	1.14446	418	0	9
2025.06.02	20:00:00	1.14444	1.14446	1.14417	1.14442	263	0	9
2025.06.02	20:15:00	1.14442	1.14461	1.14432	1.14450	149	0	9
2025.06.02	20:30:00	1.14448	1.14448	1.14402	1.14405	190	0	9
2025.06.02	20:45:00	1.14405	1.14433	1.14395	1.14413	242	0	9
2025.06.02	21:00:00	1.14412	1.14417	1.14313	1.14319	204	0	23
2025.06.02	21:15:00	1.14322	1.14359	1.14314	1.14352	211	0	114
2025.06.02	21:30:00	1.14354	1.14375	1.14335	1.14346	258	0	91
2025.06.02	21:45:00	1.14346	1.14399	1.14340	1.14398	281	0	12
2025.06.02	22:00:00	1.14400	1.14412	1.14379	1.14410	204	0	9
2025.06.02	22:15:00	1.14409	1.14456	1.14406	1.14448	236	0	9
2025.06.02	22:30:00	1.14448	1.14453	1.14421	1.14423	139	0	9
2025.06.02	22:45:00	1.14423	1.14455	1.14414	1.14447	185	0	9
2025.06.02	23:00:00	1.14447	1.14494	1.14443	1.14491	253	0	9
2025.06.02	23:15:00	1.14491	1.14520	1.14481	1.14500	308	0	9
2025.06.02	23:30:00	1.14500	1.14534	1.14494	1.14533	302	0	9
2025.06.02	23:45:00	1.14533	1.14535	1.14509	1.14528	265	0	9
2025.06.03	00:00:00	1.14527	1.14544	1.14434	1.14455	562	0	9
2025.06.03	00:15:00	1.14455	1.14461	1.14420	1.14437	483	0	9
2025.06.03	00:30:00	1.14439	1.14469	1.14412	1.14427	428	0	9
2025.06.03	00:45:00	1.14426	1.14461	1.14384	1.14432	551	0	9
2025.06.03	01:00:00	1.14430	1.14432	1.14338	1.14341	674	0	9
2025.06.03	01:15:00	1.14341	1.14343	1.14304	1.14315	606	0	9
2025.06.03	01:30:00	1.14317	1.14373	1.14278	1.14345	758	0	9
2025.06.03	01:45:00	1.14343	1.14343	1.14266	1.14277	775	0	9
2025.06.03	02:00:00	1.14280	1.14286	1.14223	1.14275	681	0	9
2025.06.03	02:15:00	1.14275	1.14301	1.14243	1.14280	525	0	9
2025.06.03	02:30:00	1.14278	1.14291	1.14185	1.14229	566	0	9
2025.06.03	02:45:00	1.14229	1.14268	1.14214	1.14254	503	0	9
2025.06.03	03:00:00	1.14253	1.14271	1.14226	1.14252	539	0	9
2025.06.03	03:15:00	1.14252	1.14267	1.14184	1.14194	370	0	9
2025.06.03	03:30:00	1.14193	1.14198	1.14163	1.14174	566	0	9
2025.06.03	03:45:00	1.14173	1.14200	1.14155	1.14195	384	0	9
2025.06.03	04:00:00	1.14195	1.14209	1.14166	1.14190	390	0	9
2025.06.03	04:15:00	1.14190	1.14228	1.14183	1.14201	360	0	9
2025.06.03	04:30:00	1.14202	1.14215	1.14187	1.14209	361	0	9
2025.06.03	04:45:00	1.14209	1.14252	1.14208	1.14249	330	0	9
2025.06.03	05:00:00	1.14248	1.14272	1.14198	1.14219	422	0	9
2025.06.03	05:15:00	1.14218	1.14243	1.14146	1.14161	558	0	9
2025.06.03	05:30:00	1.14162	1.14183	1.14131	1.14145	522	0	9
2025.06.03	05:45:00	1.14145	1.14234	1.14118	1.14215	553	0	9
2025.06.03	06:00:00	1.14218	1.14244	1.14151	1.14181	821	0	9
2025.06.03	06:15:00	1.14183	1.14308	1.14178	1.14287	818	0	9
2025.06.03	06:30:00	1.14287	1.14299	1.14197	1.14215	738	0	9
2025.06.03	06:45:00	1.14218	1.14293	1.14218	1.14285	821	0	9
2025.06.03	07:00:00	1.14284	1.14294	1.14190	1.14260	993	0	9
2025.06.03	07:15:00	1.14258	1.14319	1.14238	1.14291	1091	0	9
2025.06.03	07:30:00	1.14290	1.14296	1.14148	1.14192	957	0	9
2025.06.03	07:45:00	1.14193	1.14204	1.14137	1.14158	769	0	9
2025.06.03	08:00:00	1.14157	1.14185	1.14076	1.14116	999	0	9
2025.06.03	08:15:00	1.14115	1.14116	1.14052	1.14105	846	0	9
2025.06.03	08:30:00	1.14103	1.14168	1.14097	1.14100	763	0	9
2025.06.03	08:45:00	1.14101	1.14161	1.14083	1.14113	634	0	9
