<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.05.01	00:00:00	1.13218	1.13279	1.13218	1.13273	602	0	9
2025.05.01	00:15:00	1.13273	1.13291	1.13254	1.13283	450	0	9
2025.05.01	00:30:00	1.13282	1.13290	1.13209	1.13222	402	0	9
2025.05.01	00:45:00	1.13222	1.13246	1.13202	1.13216	573	0	9
2025.05.01	01:00:00	1.13216	1.13220	1.13116	1.13142	602	0	9
2025.05.01	01:15:00	1.13142	1.13155	1.13097	1.13105	518	0	9
2025.05.01	01:30:00	1.13105	1.13151	1.13089	1.13107	441	0	9
2025.05.01	01:45:00	1.13107	1.13111	1.13026	1.13078	487	0	9
2025.05.01	02:00:00	1.13079	1.13112	1.13054	1.13097	456	0	9
2025.05.01	02:15:00	1.13097	1.13140	1.13097	1.13136	343	0	9
2025.05.01	02:30:00	1.13136	1.13145	1.13105	1.13117	449	0	9
2025.05.01	02:45:00	1.13116	1.13157	1.13112	1.13148	390	0	9
2025.05.01	03:00:00	1.13149	1.13181	1.13027	1.13061	941	0	9
2025.05.01	03:15:00	1.13061	1.13095	1.13043	1.13051	542	0	9
2025.05.01	03:30:00	1.13049	1.13050	1.12990	1.13015	606	0	9
2025.05.01	03:45:00	1.13013	1.13117	1.13009	1.13117	524	0	9
2025.05.01	04:00:00	1.13117	1.13139	1.13074	1.13123	552	0	9
2025.05.01	04:15:00	1.13121	1.13125	1.13070	1.13088	434	0	9
2025.05.01	04:30:00	1.13088	1.13093	1.13048	1.13075	433	0	9
2025.05.01	04:45:00	1.13075	1.13106	1.13023	1.13025	382	0	9
2025.05.01	05:00:00	1.13025	1.13063	1.12966	1.12981	698	0	9
2025.05.01	05:15:00	1.12980	1.13027	1.12873	1.12882	838	0	9
2025.05.01	05:30:00	1.12884	1.12996	1.12877	1.12960	681	0	9
2025.05.01	05:45:00	1.12962	1.13018	1.12939	1.12994	619	0	9
2025.05.01	06:00:00	1.12992	1.13066	1.12979	1.13066	834	0	9
2025.05.01	06:15:00	1.13066	1.13093	1.13016	1.13069	797	0	9
2025.05.01	06:30:00	1.13069	1.13121	1.13016	1.13072	945	0	9
2025.05.01	06:45:00	1.13072	1.13077	1.12996	1.13022	1042	0	9
2025.05.01	07:00:00	1.13021	1.13038	1.12894	1.12930	1266	0	9
