<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.05.01	00:00:00	1.33204	1.33244	1.33174	1.33229	465	0	10
2025.05.01	00:15:00	1.33229	1.33261	1.33214	1.33244	452	0	10
2025.05.01	00:30:00	1.33245	1.33254	1.33173	1.33187	356	0	10
2025.05.01	00:45:00	1.33187	1.33203	1.33170	1.33186	468	0	10
2025.05.01	01:00:00	1.33186	1.33188	1.33110	1.33136	397	0	10
2025.05.01	01:15:00	1.33137	1.33148	1.33102	1.33104	339	0	10
2025.05.01	01:30:00	1.33103	1.33135	1.33090	1.33095	335	0	10
2025.05.01	01:45:00	1.33095	1.33103	1.33033	1.33074	447	0	10
2025.05.01	02:00:00	1.33073	1.33127	1.33053	1.33108	402	0	10
2025.05.01	02:15:00	1.33108	1.33156	1.33107	1.33155	271	0	10
2025.05.01	02:30:00	1.33155	1.33164	1.33133	1.33139	321	0	10
2025.05.01	02:45:00	1.33138	1.33153	1.33120	1.33135	315	0	10
2025.05.01	03:00:00	1.33135	1.33165	1.33006	1.33039	704	0	10
2025.05.01	03:15:00	1.33039	1.33075	1.33006	1.33014	465	0	10
2025.05.01	03:30:00	1.33015	1.33015	1.32926	1.32947	536	0	10
2025.05.01	03:45:00	1.32947	1.33006	1.32945	1.33006	509	0	10
2025.05.01	04:00:00	1.33006	1.33025	1.32957	1.32998	526	0	10
2025.05.01	04:15:00	1.32998	1.32998	1.32937	1.32973	466	0	10
2025.05.01	04:30:00	1.32974	1.32976	1.32941	1.32958	468	0	10
2025.05.01	04:45:00	1.32958	1.32996	1.32925	1.32935	400	0	10
2025.05.01	05:00:00	1.32933	1.32952	1.32880	1.32891	514	0	10
2025.05.01	05:15:00	1.32889	1.32931	1.32792	1.32797	634	0	10
2025.05.01	05:30:00	1.32797	1.32888	1.32784	1.32862	632	0	10
2025.05.01	05:45:00	1.32863	1.32901	1.32821	1.32884	541	0	10
2025.05.01	06:00:00	1.32883	1.32952	1.32849	1.32950	750	0	10
2025.05.01	06:15:00	1.32951	1.33000	1.32935	1.32976	622	0	10
2025.05.01	06:30:00	1.32977	1.33007	1.32928	1.32962	785	0	10
2025.05.01	06:45:00	1.32962	1.32962	1.32852	1.32890	923	0	10
2025.05.01	07:00:00	1.32888	1.32911	1.32750	1.32812	1096	0	10
2025.05.01	07:15:00	1.32812	1.32907	1.32743	1.32865	895	0	10
2025.05.01	07:30:00	1.32867	1.33033	1.32854	1.33027	919	0	10
2025.05.01	07:45:00	1.33031	1.33067	1.33004	1.33053	834	0	10
2025.05.01	08:00:00	1.33056	1.33209	1.33050	1.33143	997	0	10
2025.05.01	08:15:00	1.33143	1.33311	1.33143	1.33280	800	0	10
2025.05.01	08:30:00	1.33278	1.33312	1.33247	1.33275	675	0	10
2025.05.01	08:45:00	1.33276	1.33330	1.33236	1.33241	627	0	10
2025.05.01	09:00:00	1.33240	1.33312	1.33231	1.33256	692	0	10
2025.05.01	09:15:00	1.33257	1.33297	1.33221	1.33235	639	0	10
2025.05.01	09:30:00	1.33235	1.33235	1.33176	1.33180	587	0	10
2025.05.01	09:45:00	1.33179	1.33217	1.33125	1.33153	626	0	10
2025.05.01	10:00:00	1.33151	1.33269	1.33115	1.33265	621	0	10
2025.05.01	10:15:00	1.33265	1.33326	1.33264	1.33272	683	0	10
2025.05.01	10:30:00	1.33276	1.33363	1.33261	1.33335	688	0	10
2025.05.01	10:45:00	1.33334	1.33386	1.33295	1.33380	707	0	10
2025.05.01	11:00:00	1.33382	1.33407	1.33327	1.33373	830	0	10
2025.05.01	11:15:00	1.33373	1.33425	1.33345	1.33407	732	0	10
2025.05.01	11:30:00	1.33406	1.33450	1.33336	1.33349	591	0	10
2025.05.01	11:45:00	1.33345	1.33348	1.33233	1.33236	842	0	10
2025.05.01	12:00:00	1.33236	1.33295	1.33176	1.33190	851	0	10
2025.05.01	12:15:00	1.33193	1.33257	1.33177	1.33245	725	0	10
2025.05.01	12:30:00	1.33250	1.33398	1.33176	1.33176	1853	0	10
2025.05.01	12:45:00	1.33174	1.33218	1.33137	1.33157	1238	0	10
2025.05.01	13:00:00	1.33153	1.33261	1.33109	1.33202	1142	0	10
2025.05.01	13:15:00	1.33203	1.33215	1.33153	1.33209	952	0	10
2025.05.01	13:30:00	1.33205	1.33226	1.33143	1.33187	1204	0	10
2025.05.01	13:45:00	1.33185	1.33267	1.33160	1.33242	1234	0	10
2025.05.01	14:00:00	1.33237	1.33261	1.33065	1.33152	1995	0	10
2025.05.01	14:15:00	1.33154	1.33169	1.33034	1.33084	1470	0	10
2025.05.01	14:30:00	1.33081	1.33086	1.32904	1.32932	1477	0	10
2025.05.01	14:45:00	1.32934	1.32998	1.32841	1.32948	1498	0	10
2025.05.01	15:00:00	1.32950	1.33004	1.32913	1.32988	1245	0	10
2025.05.01	15:15:00	1.32988	1.33005	1.32854	1.32882	1132	0	10
2025.05.01	15:30:00	1.32882	1.32903	1.32744	1.32747	888	0	10
2025.05.01	15:45:00	1.32748	1.32752	1.32644	1.32724	1053	0	10
2025.05.01	16:00:00	1.32722	1.32723	1.32614	1.32681	986	0	10
2025.05.01	16:15:00	1.32683	1.32740	1.32637	1.32715	954	0	10
2025.05.01	16:30:00	1.32713	1.32756	1.32704	1.32722	689	0	10
2025.05.01	16:45:00	1.32723	1.32836	1.32720	1.32800	616	0	10
2025.05.01	17:00:00	1.32802	1.32802	1.32717	1.32786	563	0	10
2025.05.01	17:15:00	1.32785	1.32795	1.32689	1.32701	621	0	10
2025.05.01	17:30:00	1.32703	1.32710	1.32646	1.32663	525	0	10
2025.05.01	17:45:00	1.32662	1.32713	1.32629	1.32664	524	0	10
2025.05.01	18:00:00	1.32664	1.32741	1.32596	1.32732	567	0	10
2025.05.01	18:15:00	1.32733	1.32755	1.32650	1.32693	676	0	10
2025.05.01	18:30:00	1.32693	1.32814	1.32681	1.32806	633	0	10
2025.05.01	18:45:00	1.32806	1.32862	1.32742	1.32772	679	0	10
2025.05.01	19:00:00	1.32774	1.32825	1.32757	1.32803	563	0	10
2025.05.01	19:15:00	1.32802	1.32835	1.32780	1.32823	463	0	10
2025.05.01	19:30:00	1.32823	1.32843	1.32791	1.32814	508	0	10
2025.05.01	19:45:00	1.32814	1.32838	1.32780	1.32783	490	0	10
2025.05.01	20:00:00	1.32784	1.32840	1.32781	1.32832	433	0	10
2025.05.01	20:15:00	1.32832	1.32834	1.32738	1.32756	303	0	10
2025.05.01	20:30:00	1.32754	1.32795	1.32737	1.32791	266	0	10
2025.05.01	20:45:00	1.32793	1.32808	1.32755	1.32757	290	0	10
2025.05.01	21:00:00	1.32755	1.32765	1.32703	1.32708	110	0	26
2025.05.01	21:15:00	1.32704	1.32747	1.32697	1.32747	316	0	105
2025.05.01	21:30:00	1.32743	1.32747	1.32702	1.32717	332	0	105
2025.05.01	21:45:00	1.32718	1.32792	1.32633	1.32633	251	0	64
2025.05.01	22:00:00	1.32736	1.32820	1.32726	1.32783	310	0	10
2025.05.01	22:15:00	1.32782	1.32839	1.32782	1.32820	358	0	10
2025.05.01	22:30:00	1.32821	1.32856	1.32813	1.32842	285	0	10
2025.05.01	22:45:00	1.32842	1.32851	1.32804	1.32841	244	0	10
2025.05.01	23:00:00	1.32843	1.32843	1.32802	1.32818	309	0	10
2025.05.01	23:15:00	1.32817	1.32844	1.32810	1.32834	241	0	10
2025.05.01	23:30:00	1.32834	1.32834	1.32797	1.32818	216	0	10
2025.05.01	23:45:00	1.32820	1.32863	1.32819	1.32854	342	0	10
2025.05.02	00:00:00	1.32855	1.32896	1.32792	1.32793	601	0	10
2025.05.02	00:15:00	1.32792	1.32819	1.32762	1.32804	651	0	10
2025.05.02	00:30:00	1.32803	1.32818	1.32750	1.32761	687	0	10
2025.05.02	00:45:00	1.32759	1.32797	1.32735	1.32788	604	0	10
2025.05.02	01:00:00	1.32787	1.32834	1.32770	1.32832	658	0	10
2025.05.02	01:15:00	1.32832	1.32847	1.32793	1.32804	514	0	10
2025.05.02	01:30:00	1.32800	1.32816	1.32753	1.32802	588	0	10
2025.05.02	01:45:00	1.32802	1.32896	1.32800	1.32896	526	0	10
2025.05.02	02:00:00	1.32896	1.32957	1.32891	1.32936	464	0	10
2025.05.02	02:15:00	1.32935	1.32995	1.32914	1.32969	483	0	10
2025.05.02	02:30:00	1.32968	1.32972	1.32902	1.32955	392	0	10
2025.05.02	02:45:00	1.32955	1.32964	1.32911	1.32920	286	0	10
2025.05.02	03:00:00	1.32919	1.32937	1.32897	1.32911	358	0	10
2025.05.02	03:15:00	1.32911	1.33028	1.32900	1.33012	474	0	10
2025.05.02	03:30:00	1.33012	1.33088	1.33008	1.33073	512	0	10
2025.05.02	03:45:00	1.33073	1.33100	1.33034	1.33093	467	0	10
2025.05.02	04:00:00	1.33095	1.33104	1.33035	1.33056	669	0	10
2025.05.02	04:15:00	1.33056	1.33132	1.33035	1.33103	625	0	10
2025.05.02	04:30:00	1.33103	1.33107	1.33056	1.33070	578	0	10
2025.05.02	04:45:00	1.33070	1.33083	1.33042	1.33076	470	0	10
2025.05.02	05:00:00	1.33077	1.33134	1.33048	1.33115	563	0	10
2025.05.02	05:15:00	1.33114	1.33168	1.33096	1.33164	379	0	10
2025.05.02	05:30:00	1.33164	1.33195	1.33152	1.33176	426	0	10
2025.05.02	05:45:00	1.33176	1.33217	1.33108	1.33118	609	0	10
2025.05.02	06:00:00	1.33116	1.33166	1.33082	1.33088	986	0	10
2025.05.02	06:15:00	1.33089	1.33210	1.33087	1.33177	936	0	10
2025.05.02	06:30:00	1.33174	1.33202	1.33068	1.33093	819	0	10
2025.05.02	06:45:00	1.33092	1.33160	1.33064	1.33116	863	0	10
2025.05.02	07:00:00	1.33113	1.33185	1.33075	1.33140	1167	0	10
2025.05.02	07:15:00	1.33138	1.33169	1.33029	1.33042	867	0	10
2025.05.02	07:30:00	1.33042	1.33087	1.32991	1.33045	889	0	10
2025.05.02	07:45:00	1.33047	1.33087	1.32980	1.32985	982	0	10
2025.05.02	08:00:00	1.32989	1.32991	1.32846	1.32863	1089	0	10
2025.05.02	08:15:00	1.32862	1.32916	1.32860	1.32890	885	0	10
2025.05.02	08:30:00	1.32888	1.32915	1.32819	1.32894	845	0	10
2025.05.02	08:45:00	1.32893	1.32945	1.32872	1.32917	753	0	10
2025.05.02	09:00:00	1.32914	1.32924	1.32854	1.32888	797	0	10
2025.05.02	09:15:00	1.32888	1.32923	1.32852	1.32915	750	0	10
2025.05.02	09:30:00	1.32917	1.33115	1.32903	1.33093	1050	0	10
2025.05.02	09:45:00	1.33096	1.33154	1.33070	1.33096	886	0	10
2025.05.02	10:00:00	1.33097	1.33108	1.33037	1.33082	868	0	10
2025.05.02	10:15:00	1.33082	1.33094	1.33038	1.33050	694	0	10
2025.05.02	10:30:00	1.33049	1.33066	1.32931	1.32932	671	0	10
2025.05.02	10:45:00	1.32932	1.32935	1.32868	1.32896	637	0	10
2025.05.02	11:00:00	1.32898	1.32945	1.32879	1.32906	825	0	10
2025.05.02	11:15:00	1.32906	1.32963	1.32900	1.32951	700	0	10
2025.05.02	11:30:00	1.32951	1.33070	1.32943	1.32981	769	0	10
2025.05.02	11:45:00	1.32980	1.32980	1.32856	1.32934	947	0	10
2025.05.02	12:00:00	1.32934	1.32981	1.32895	1.32913	907	0	10
2025.05.02	12:15:00	1.32913	1.32913	1.32817	1.32901	873	0	10
2025.05.02	12:30:00	1.32893	1.32934	1.32599	1.32882	3389	0	10
